#,Name,Team,Position,Age,Market Value (€m),Contract Expiry,Tackles,Errors leading to goal,Clean sheets,Blocked shots,Interceptions,Clearances,Dribbled past,Errors leading to shot,Blocked shots.1,Aerial duels won %,Aerial duels won,Fouls,Minutes played,Appearances,Started,Dispossessed,Accurate passes,Accurate passes %,Long balls (accurate),Accurate long balls %,Key passes,Tackles_p90,Interceptions_p90,Clearances_p90,Blocked shots_p90,Errors leading to goal_p90,Errors leading to shot_p90,Dribbled past_p90,Aerial duels won_p90,Fouls_p90,Dispossessed_p90,Accurate passes_p90,Long balls (accurate)_p90,Key passes_p90,Clean sheets_p90,PC1,PC2,Cluster
60,James Bree,Luton Town,Right-Back,29,1.0,2025,1.32,0.0,0.27,0.22,0.61,2.05,14,0,9,54.55,60,41,3333,41,38,12,977,79.56,28,32.56,53,0.03564356435643565,0.016471647164716472,0.05535553555355535,0.005940594059405941,0.0,0.0,0.37803780378037805,1.6201620162016201,1.1071107110711071,0.32403240324032406,26.381638163816383,0.7560756075607561,1.4311431143114313,0.0072907290729072914,-2.582621921726145,-1.3124615920663114,1
62,Milan van Ewijk,Coventry City,Right-Back,24,5.0,2028,2.11,0.05,0.3,0.27,1.2,2.55,31,2,12,46.38,32,38,3784,44,43,26,1247,80.87,49,29.34,46,0.05018498942917547,0.02854122621564482,0.060650105708245236,0.006421775898520085,0.0011892177589852009,0.04756871035940803,0.7373150105708245,0.7610993657505285,0.9038054968287527,0.6183932346723044,29.65909090909091,1.1654334038054968,1.0940803382663848,0.007135306553911205,-3.101854906445957,-0.7832017943993745,1
63,Phil Neumann,Hull City,Centre-Back,27,2.0,2027,1.16,0.06,0.25,0.84,0.78,6.72,6,2,27,60.84,87,33,2817,32,32,4,1204,82.64,63,35.39,7,0.03706070287539936,0.02492012779552716,0.21469648562300317,0.026837060702875396,0.0019169329073482426,0.06389776357827476,0.19169329073482427,2.779552715654952,1.0543130990415335,0.12779552715654952,38.466453674121404,2.012779552715655,0.22364217252396165,0.007987220447284345,1.1243728039223528,-0.41901769458176574,2
64,Joel Latibeaudiere,Coventry City,Right-Back,26,1.5,2026,0.6,0.0,0.4,0.93,0.73,5.27,3,0,14,46.34,38,9,1275,15,15,3,690,88.01,28,42.42,2,0.042352941176470586,0.051529411764705886,0.372,0.06564705882352942,0.0,0.0,0.21176470588235294,2.682352941176471,0.6352941176470589,0.21176470588235294,48.70588235294118,1.9764705882352942,0.1411764705882353,0.028235294117647063,2.791405042950318,1.320142958986072,0
65,George Campbell,Millwall,Centre-Back,23,2.0,2027,1.59,0.08,0.26,0.51,0.56,4.59,17,3,20,52.11,74,31,3090,39,33,15,1522,84.93,76,40.21,19,0.04631067961165049,0.016310679611650485,0.1336893203883495,0.014854368932038835,0.0023300970873786405,0.08737864077669902,0.4951456310679611,2.1553398058252426,0.9029126213592232,0.4368932038834951,44.33009708737864,2.2135922330097086,0.5533980582524272,0.007572815533980582,-0.03131311054470162,-1.4208166402570053,2
66,Neto Borges,Bristol City,Left-Back,24,3.0,2028,1.61,0.05,0.15,0.37,1.12,2.98,15,2,15,53.21,58,28,2757,41,30,7,1162,84.2,39,33.33,35,0.052557127312295976,0.03656147986942329,0.09727965179542981,0.012078346028291621,0.001632208922742111,0.06528835690968444,0.4896626768226333,1.8933623503808488,0.9140369967355821,0.22850924918389554,37.93253536452666,1.2731229597388465,1.1425462459194777,0.004896626768226333,-1.1579695557658976,-0.8827135425023905,1
68,José Córdoba,Swansea City,Centre-Back,28,1.5,2026,1.29,0.0,0.18,0.82,1.0,5.21,5,0,23,50.62,41,30,2255,28,24,11,1250,82.84,77,34.07,6,0.05148558758314856,0.03991130820399113,0.20793791574279377,0.03272727272727272,0.0,0.0,0.19955654101995565,1.6363636363636362,1.1973392461197339,0.4390243902439024,49.88913525498891,3.0731707317073167,0.23946784922394676,0.007184035476718403,0.5140810040487741,-0.5708769109867351,2
69,Max Alleyne,Watford,Left-Back,22,1.0,2027,1.69,0.0,0.19,0.38,0.81,4.75,8,0,6,57.69,30,4,1273,16,14,1,580,81.46,39,33.62,2,0.1194815396700707,0.0572663000785546,0.3358208955223881,0.026865671641791045,0.0,0.0,0.565593087195601,2.1209740769835035,0.2827965435978005,0.07069913589945012,41.00549882168107,2.757266300078555,0.14139827179890024,0.013432835820895522,0.9764001239002488,1.4050740895865872,0
70,Liam Lindsay,Preston North End,Centre-Back,30,1.0,2026,0.81,0.0,0.04,0.81,1.54,7.46,6,0,21,66.86,113,34,1595,26,17,2,459,73.68,43,34.96,7,0.04570532915360502,0.08689655172413793,0.42094043887147337,0.04570532915360502,0.0,0.0,0.3385579937304075,6.376175548589342,1.9184952978056427,0.11285266457680251,25.899686520376175,2.426332288401254,0.3949843260188088,0.0022570532915360503,1.3937703342150194,2.889494120624752,0
71,Noah Eile,Derby County,Centre-Back,23,1.0,2026,1.2,0.07,0.2,0.6,1.0,3.93,2,1,9,69.57,32,13,1261,15,14,2,763,88.82,23,37.7,1,0.08564631245043616,0.07137192704203013,0.28049167327517843,0.04282315622521808,0.00499603489294211,0.07137192704203013,0.14274385408406026,2.283901665344964,0.9278350515463918,0.14274385408406026,54.45678033306899,1.641554321966693,0.07137192704203013,0.014274385408406028,2.848199660440199,1.6336867122841954,0
